Baths,Beds,MaxRent,Model,PropertyId,SquareFootage
2.5,2,5977,TH-2.0,6nnd2rr,"1,769"
3,2,6438,B-10.1,6nnd2rr,"2,030"
2.5,2,6551,PH2.0,6nnd2rr,"1,786"
2.5,2,6691,PH2.0,6nnd2rr,"1,786"
2.5,2,6628,PH7.0,6nnd2rr,"1,741"
2.5,2,7114,TH-4.0,6nnd2rr,"2,025"
2.5,2,7560,PH6.0,6nnd2rr,"1,903"
2.5,2,8553,PH5.0,6nnd2rr,"2,158"
2.5,2,9863,PH1.0,6nnd2rr,"2,611"
2.5,2,10003,PH1.0,6nnd2rr,"2,611"
1,0,1350,Studio B,mzlcfvh,503
1,0,1400,Studio B,mzlcfvh,472
1,0,1475,Studio B,mzlcfvh,604
1,1,1649,1x1 C,mzlcfvh,626
1,1,1649,1x1 C,mzlcfvh,611
1,1,1649,1x1 F,mzlcfvh,650
1,1,1710,1x1 F,mzlcfvh,621
1,1,1710,1x1 A,mzlcfvh,704
1,1,1710,1x1 B,mzlcfvh,687
1,1,1710,1x1 B,mzlcfvh,777
1,1,1710,1x1 D,mzlcfvh,660
1,2,2225,2x1 B,mzlcfvh,902
1,2,2250,2x1 A,mzlcfvh,802
1,0,1535,Currant - Bldg 1,4dnnpqh,495
1,1,1759,Azalea - Bldgs 2-5,4dnnpqh,629
1,1,1759,Blueblossom - Bldg 1,4dnnpqh,608
2,2,2347,Juniper - Bldgs 2-5,4dnnpqh,915
2,2,2510,Salmonberry - Bldgs 2-5,4dnnpqh,"1,019"
2,2,2610,Dogwood - Bldg 1,4dnnpqh,"1,019"
2,2,2754,Crabapple - Bldg 1,4dnnpqh,"1,076"
2,3,3131,Trillium - Bldg 1,4dnnpqh,"1,198"
1,0,1105,Studio A,exr6wtn,297
1,0,1165,Studio A,exr6wtn,297
1,0,1181,Studio B,exr6wtn,345
1,0,1206,Studio B,exr6wtn,360
1,0,1206,Studio B,exr6wtn,345
1,0,1206,Studio B,exr6wtn,349
1,0,1241,Studio B,exr6wtn,345
1,0,1241,Studio B,exr6wtn,349
1,0,1314,Studio C,exr6wtn,389
2,2,1765,2x2 A,exr6wtn,729
2,2,1830,2x2 A,exr6wtn,729
2,2,1860,2x2 A,exr6wtn,809
2,2,1925,2x2 A,exr6wtn,827
1,0,1215,Studio D,nyhfyzm,430
1,0,1225,Studio D,nyhfyzm,430
1,0,1235,Studio D,nyhfyzm,430
1,0,1245,Studio D,nyhfyzm,430
1,0,1255,Studio D,nyhfyzm,430
1,0,1270,Studio D,nyhfyzm,450
