Address,Amenities,Neighborhood,NeighborhoodLink,PropertyId,PropertyName,PropertyUrl,ReviewScore,VerifiedListing,is_single_unit
10 River Rd,"['Dishwasher', 'Fitness Center']",New York,https://www.apartments.com/new-york-ny/,plemj2s,River Rd,https://www.apartments.com/river-rd-new-york-ny/plemj2s/,0,Un-verified,1
95 Horatio St,"['Air Conditioning', 'Furnished', 'Package Service', 'Laundry Facilities', 'Controlled Access']",West Village,https://www.apartments.com/west-village-new-york-ny/,mjtlb1h,95 Horatio St,https://www.apartments.com/95-horatio-st-new-york-ny/mjtlb1h/,0,Un-verified,1
40 W 120th St,[],Central Harlem,https://www.apartments.com/central-harlem-new-york-ny/,xlpvf5q,"Gorgeous 1 Bed + Private Backyard, Private...",https://www.apartments.com/gorgeous-1-bed-private-backyard-private-new-york-ny-unit-1/xlpvf5q/,0,Un-verified,1
22 Post Ave,"['Air Conditioning', 'Dishwasher', 'Eat-in Kitchen', 'Hardwood Floors']",Inwood,https://www.apartments.com/inwood-new-york-ny/,cnxv4rd,22 Post Ave,https://www.apartments.com/22-post-ave-new-york-ny-unit-06/cnxv4rd/,0,Un-verified,1
210 w 89th st,"['SharedYard', 'Wi-Fi', 'Air Conditioning', 'Heating', 'Dishwasher', 'Kitchen', 'Microwave', 'Oven', 'Refrigerator', 'Freezer', 'Furnished', 'Laundry Facilities', 'Doorman', 'Elevator', 'Corporate Suites', 'Fitness Center', 'Garden']",Greenwich Village,https://www.apartments.com/greenwich-village-new-york-ny/,g1l8kex,210 W 89th St Unit FL4-ID626,https://www.apartments.com/210-w-89th-st-new-york-ny-unit-fl4-id626/g1l8kex/,0,Un-verified,1
1225 Park Ave,"['Air Conditioning', 'Package Service', 'Laundry Facilities', 'Controlled Access', 'Elevator']",Carnegie Hill,https://www.apartments.com/carnegie-hill-new-york-ny/,0l3q4s0,1225 Park Ave,https://www.apartments.com/1225-park-ave-new-york-ny/0l3q4s0/,0,Un-verified,1
524 W 123rd St,"['Air Conditioning', 'Package Service', 'Laundry Facilities', 'Controlled Access']",Morningside Heights,https://www.apartments.com/morningside-heights-new-york-ny/,4gwxe8h,524 W 123rd St,https://www.apartments.com/524-w-123rd-st-new-york-ny/4gwxe8h/,0,Un-verified,1
60 w 66th st,"['Wi-Fi', 'Air Conditioning', 'Heating', 'Dishwasher', 'Kitchen', 'Microwave', 'Oven', 'Refrigerator', 'Freezer', 'Furnished', 'Laundry Facilities', 'Doorman', 'Elevator', 'Lounge', 'Corporate Suites', 'Fitness Center']",Lincoln Square,https://www.apartments.com/lincoln-square-new-york-ny/,jlm1934,60 W 66th St Unit FL16-ID459,https://www.apartments.com/60-w-66th-st-new-york-ny-unit-fl16-id459/jlm1934/,0,Un-verified,1
1521 York Ave,"['High Speed Internet Access', 'Air Conditioning', 'Heating', 'Smoke Free', 'Dishwasher', 'Microwave', 'Oven', 'Refrigerator', 'Hardwood Floors', 'Furnished']",Upper East Side,https://www.apartments.com/upper-east-side-new-york-ny/,37qvq7e,Private bedroom in 3 bed/1 bath Home,https://www.apartments.com/private-bedroom-in-3-bed-1-bath-home-new-york-ny-unit-c/37qvq7e/,0,Un-verified,1
300 e 51st st,"['Wi-Fi', 'Air Conditioning', 'Heating', 'Dishwasher', 'Kitchen', 'Microwave', 'Oven', 'Refrigerator', 'Freezer', 'Furnished', 'Laundry Facilities', 'Doorman', 'Elevator', 'Corporate Suites', 'Fitness Center', 'Balcony']",Turtle Bay,https://www.apartments.com/turtle-bay-new-york-ny/,4g5f5bj,300 E 51st St Unit FL16-ID533,https://www.apartments.com/300-e-51st-st-new-york-ny-unit-fl16-id533/4g5f5bj/,0,Un-verified,1
96 5th ave,"['Intercom', 'Maintenance on site', 'Doorman', 'Laundry Service', 'Elevator']",Union Square,https://www.apartments.com/union-square-new-york-ny/,mng3ylj,96 5th Ave Unit 07K,https://www.apartments.com/96-5th-ave-new-york-ny-unit-07k/mng3ylj/,0,Un-verified,1
550 W 165th St,"['Air Conditioning', 'Furnished', 'Package Service', 'Laundry Facilities', 'Controlled Access']",Washington Heights,https://www.apartments.com/washington-heights-new-york-ny/,0x1de53,550 W 165th St,https://www.apartments.com/550-w-165th-st-new-york-ny/0x1de53/,0,Un-verified,1
189 W 89th St,"['OutdoorArea', 'Air Conditioning', 'Dishwasher', 'Furnished', 'Laundry Facilities']",Upper West Side,https://www.apartments.com/upper-west-side-new-york-ny/,eny0xdm,189 West 89th Street,https://www.apartments.com/189-west-89th-street-new-york-ny-unit-14h/eny0xdm/,0,Un-verified,1
1136 1st Ave.,"['Air Conditioning', 'Package Service', 'Laundry Facilities', 'Controlled Access']",Lenox Hill,https://www.apartments.com/lenox-hill-new-york-ny/,m3m5sfj,1136 1st Ave.,https://www.apartments.com/1136-1st-ave-new-york-ny/m3m5sfj/,0,Un-verified,1
345 E 21st St,"['High Speed Internet Access', 'Washer/Dryer', 'Heating', 'Smoke Free', 'Dishwasher', 'Microwave', 'Oven', 'Refrigerator', 'Hardwood Floors']",Gramercy Park,https://www.apartments.com/gramercy-park-new-york-ny/,25929y8,Private bedroom in 2 bed/1 bath Home,https://www.apartments.com/private-bedroom-in-2-bed-1-bath-home-new-york-ny-unit-a/25929y8/,0,Un-verified,1
10 downing st,"['SharedYard', 'Wi-Fi', 'Air Conditioning', 'Heating', 'Dishwasher', 'Kitchen', 'Microwave', 'Oven', 'Refrigerator', 'Freezer', 'Furnished', 'Laundry Facilities', 'Doorman', 'Elevator', 'Lounge', 'Corporate Suites', 'Fitness Center', 'Garden']",West Village,https://www.apartments.com/west-village-new-york-ny/,wbkp0rk,10 Downing St Unit FL5-ID239,https://www.apartments.com/10-downing-st-new-york-ny-unit-fl5-id239/wbkp0rk/,0,Un-verified,1
250 e houston st,"['SharedYard', 'Wi-Fi', 'Washer/Dryer', 'Air Conditioning', 'Heating', 'Dishwasher', 'Kitchen', 'Microwave', 'Oven', 'Refrigerator', 'Freezer', 'Furnished', 'Doorman', 'Elevator', 'Lounge', 'Corporate Suites', 'Fitness Center', 'Roof Terrace', 'Garden']",East Village,https://www.apartments.com/east-village-new-york-ny/,w8lf2tl,250 E Houston St Unit FL10-ID150,https://www.apartments.com/250-e-houston-st-new-york-ny-unit-fl10-id150/w8lf2tl/,0,Un-verified,1
336 W 47th St,"['High Speed Internet Access', 'Heating', 'Smoke Free', 'Dishwasher', 'Eat-in Kitchen', 'Microwave', 'Oven', 'Refrigerator', 'Breakfast Nook', 'Hardwood Floors', 'Furnished']",Times Square,https://www.apartments.com/times-square-new-york-ny/,6scljwv,Private bedroom in 5 bed/1 bath Home,https://www.apartments.com/private-bedroom-in-5-bed-1-bath-home-new-york-ny-unit-c/6scljwv/,0,Un-verified,1
222 E 34th St,"['Air Conditioning', 'Dishwasher', 'Furnished', 'Laundry Facilities']",Kips Bay,https://www.apartments.com/kips-bay-new-york-ny/,pt5vtxs,222 East 34th Street,https://www.apartments.com/222-east-34th-street-new-york-ny-unit-1424/pt5vtxs/,0,Un-verified,1
521 W 48th St,"['Air Conditioning', 'Furnished', 'Laundry Facilities']",Hell's Kitchen,https://www.apartments.com/hells-kitchen-new-york-ny/,8z0gp53,521 West 48th Street,https://www.apartments.com/521-west-48th-street-new-york-ny-unit-5e/8z0gp53/,0,Un-verified,1
